t,t1,t2,t3,t4,hour_sin,hour_cos,dayofweek,target
128.0,128.0,115.0,117.0,97.0,0.9153114791194472,-0.40274668985873713,3,122.0
125.0,119.0,130.0,123.0,113.0,0.15212338618991672,0.9883615104677607,4,104.0
36.0,28.0,25.0,24.0,25.0,0.9990482215818578,-0.04361938736533589,3,34.0
98.0,136.0,130.0,130.0,96.0,-0.5000000000000004,0.8660254037844384,3,86.0
39.0,35.0,56.0,65.0,60.0,0.4226182617406994,0.9063077870366499,6,37.0
135.0,125.0,129.0,148.0,128.0,-0.7660444431189779,-0.6427876096865395,3,117.0
52.0,51.0,47.0,48.0,33.0,0.6915130557822694,0.7223639620597556,2,57.0
100.0,100.0,79.0,80.0,66.0,0.9940563382223196,0.10886687485196474,0,62.0
41.0,42.0,44.0,46.0,47.0,0.17364817766693033,0.984807753012208,5,40.0
126.0,118.0,119.0,121.0,92.0,0.8433914458128857,0.5372996083468239,3,143.0
55.0,64.0,65.0,61.0,68.0,-0.1736481776669304,0.984807753012208,4,54.0
128.0,135.0,143.0,146.0,150.0,-0.2798290140309924,0.9600498543859286,4,122.0
29.0,14.0,15.0,14.0,18.0,1.0,6.123233995736766e-17,5,15.0
34.0,29.0,24.0,46.0,30.0,-0.0218148850345609,0.9997620270799091,0,28.0
100.0,131.0,124.0,125.0,140.0,-0.8191520442889918,0.573576436351046,0,115.0
111.0,106.0,112.0,107.0,107.0,0.6427876096865393,0.766044443118978,0,107.0
45.0,39.0,41.0,59.0,47.0,-0.1521233861899172,0.9883615104677607,6,31.0
0.0,10.0,0.0,0.0,0.0,0.44228869021900125,0.8968727415326884,2,0.0
43.0,56.0,36.0,50.0,46.0,-0.40274668985873663,0.9153114791194474,4,44.0
104.0,91.0,97.0,94.0,94.0,0.6915130557822694,0.7223639620597556,4,88.0
112.0,112.0,113.0,115.0,104.0,0.9537169507482269,-0.30070579950427295,6,107.0
130.0,140.0,112.0,135.0,84.0,-0.34202014332566866,-0.9396926207859084,2,74.0
135.0,132.0,113.0,152.0,170.0,-0.7372773368101242,0.6755902076156601,6,127.0
88.0,121.0,113.0,102.0,102.0,-0.32143946530316186,0.9469301294951056,4,104.0
112.0,108.0,99.0,91.0,87.0,0.9807852804032304,-0.1950903220161282,3,115.0
35.0,28.0,35.0,36.0,38.0,0.5913096483635824,0.8064446042674827,5,27.0
80.0,64.0,48.0,61.0,68.0,-0.1736481776669304,0.984807753012208,2,57.0
163.0,174.0,133.0,161.0,149.0,-0.9940563382223195,-0.10886687485196507,5,132.0
115.0,112.0,113.0,93.0,111.0,0.9713420698132614,0.2376858923261731,0,130.0
17.0,9.0,0.0,20.0,37.0,0.17364817766693033,0.984807753012208,1,1.0
14.0,14.0,13.0,13.0,13.0,0.8870108331782217,0.46174861323503386,0,15.0
117.0,116.0,107.0,99.0,89.0,0.9940563382223196,-0.10886687485196461,1,125.0
78.0,73.0,65.0,94.0,109.0,-0.9883615104677609,0.15212338618991592,2,100.0
145.0,129.0,145.0,126.0,153.0,-0.9914448613738105,0.13052619222005127,4,149.0
151.0,134.0,124.0,126.0,145.0,0.4617486132350339,-0.8870108331782217,0,140.0
13.0,14.0,14.0,15.0,15.0,0.48098876891938763,0.8767267557075077,1,13.0
29.0,28.0,25.0,31.0,16.0,0.5555702330196022,0.8314696123025452,3,34.0
153.0,105.0,113.0,124.0,118.0,-0.8191520442889918,0.573576436351046,5,98.0
26.0,44.0,29.0,38.0,40.0,0.17364817766693033,0.984807753012208,1,19.0
18.0,16.0,25.0,28.0,23.0,0.46174861323503397,0.8870108331782217,6,18.0
70.0,57.0,58.0,73.0,65.0,0.40274668985873724,0.9153114791194471,3,46.0
89.0,92.0,83.0,94.0,88.0,-0.04361938736533538,-0.9990482215818578,5,87.0
26.0,27.0,29.0,30.0,32.0,0.15212338618991672,0.9883615104677607,0,25.0
